provider,model,thinking_mode,prompt_id,prompt_style,parse_family,prompt_template,horn,total,correct,accuracy,unclear,unclear_rate,sat_total,sat_correct,sat_accuracy,unsat_total,unsat_correct,unsat_accuracy
google,gemini-2.5-flash,think-med,prompt_0b276d34e8,cnf_v1,contradiction,prompts/_template_unified.j2,0,184,100,0.543,64,0.348,93,50,0.538,91,50,0.549
google,gemini-2.5-flash,think-med,prompt_0b276d34e8,cnf_v1,contradiction,prompts/_template_unified.j2,1,465,384,0.826,59,0.127,233,172,0.738,232,212,0.914
google,gemini-2.5-flash,think-med,prompt_21889a86a3,cnf_v1,contradiction,prompts/_template_unified.j2,0,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
google,gemini-2.5-flash,think-med,prompt_21889a86a3,cnf_v1,contradiction,prompts/_template_unified.j2,1,29,29,1.000,0,0.000,17,17,1.000,12,12,1.000
google,gemini-2.5-flash,,prompt_83b02d3a05,cnf_v1,contradiction,prompts/exp1_cnf_v1_contradiction.j2,1,5,5,1.000,0,0.000,3,3,1.000,2,2,1.000
google,gemini-2.5-flash,think-med,prompt_2e9c5ccddf,cnf_v2,contradiction,prompts/_template_unified.j2,0,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
google,gemini-2.5-flash,think-med,prompt_2e9c5ccddf,cnf_v2,contradiction,prompts/_template_unified.j2,1,24,24,1.000,0,0.000,14,14,1.000,10,10,1.000
google,gemini-2.5-flash,think-med,prompt_c012d6f2e6,cnf_v2,contradiction,prompts/_template_unified.j2,0,193,105,0.544,64,0.332,97,56,0.577,96,49,0.510
google,gemini-2.5-flash,think-med,prompt_c012d6f2e6,cnf_v2,contradiction,prompts/_template_unified.j2,1,473,386,0.816,54,0.114,237,175,0.738,236,211,0.894
google,gemini-2.5-flash,think-med,prompt_2376d1fca7,horn_if_then,yes_no,prompts/_template_unified.j2,0,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
google,gemini-2.5-flash,think-med,prompt_2376d1fca7,horn_if_then,yes_no,prompts/_template_unified.j2,1,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
google,gemini-2.5-flash,think-med,prompt_62ba908560,horn_if_then,yes_no,prompts/_template_unified.j2,0,189,119,0.630,8,0.042,95,47,0.495,94,72,0.766
google,gemini-2.5-flash,think-med,prompt_62ba908560,horn_if_then,yes_no,prompts/_template_unified.j2,1,193,191,0.990,0,0.000,97,95,0.979,96,96,1.000
google,gemini-2.5-flash,think-med,prompt_73ecab0579,horn_if_then,yes_no,,1,3,0,0.000,3,1.000,2,0,0.000,1,0,0.000
google,gemini-2.5-flash,think-med,prompt_7b28aa32dc,horn_if_then,yes_no,prompts/_template_unified.j2,1,277,277,1.000,0,0.000,139,139,1.000,138,138,1.000
google,gemini-2.5-flash,think-med,prompt_c1b2be97aa,horn_if_then,yes_no,prompts/_template_unified.j2,0,2,0,0.000,2,1.000,1,0,0.000,1,0,0.000
google,gemini-2.5-flash,think-med,prompt_c1b2be97aa,horn_if_then,yes_no,prompts/_template_unified.j2,1,306,306,1.000,0,0.000,156,156,1.000,150,150,1.000
google,gemini-2.5-flash,,prompt_c6875730a1,horn_if_then,yes_no,prompts/exp6_horn_yesno.j2,1,520,330,0.635,0,0.000,260,84,0.323,260,246,0.946
