provider,model,thinking_mode,prompt_id,prompt_style,parse_family,prompt_template,horn,total,correct,accuracy,unclear,unclear_rate,sat_total,sat_correct,sat_accuracy,unsat_total,unsat_correct,unsat_accuracy
openai,gpt-5-nano-2025-08-07,nothink,prompt_0b276d34e8,cnf_v1,contradiction,prompts/_template_unified.j2,0,185,23,0.124,160,0.865,93,14,0.151,92,9,0.098
openai,gpt-5-nano-2025-08-07,nothink,prompt_0b276d34e8,cnf_v1,contradiction,prompts/_template_unified.j2,1,465,124,0.267,341,0.733,233,49,0.210,232,75,0.323
openai,gpt-5-nano-2025-08-07,nothink,prompt_21889a86a3,cnf_v1,contradiction,prompts/_template_unified.j2,0,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
openai,gpt-5-nano-2025-08-07,nothink,prompt_21889a86a3,cnf_v1,contradiction,prompts/_template_unified.j2,1,29,25,0.862,4,0.138,17,13,0.765,12,12,1.000
openai,gpt-5-nano-2025-08-07,nothink,prompt_2e9c5ccddf,cnf_v2,contradiction,prompts/_template_unified.j2,0,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
openai,gpt-5-nano-2025-08-07,nothink,prompt_2e9c5ccddf,cnf_v2,contradiction,prompts/_template_unified.j2,1,24,7,0.292,17,0.708,14,4,0.286,10,3,0.300
openai,gpt-5-nano-2025-08-07,nothink,prompt_c012d6f2e6,cnf_v2,contradiction,prompts/_template_unified.j2,0,214,40,0.187,174,0.813,108,21,0.194,106,19,0.179
openai,gpt-5-nano-2025-08-07,nothink,prompt_c012d6f2e6,cnf_v2,contradiction,prompts/_template_unified.j2,1,538,55,0.102,482,0.896,270,21,0.078,268,34,0.127
openai,gpt-5-nano-2025-08-07,think-high,prompt_c012d6f2e6,cnf_v2,contradiction,prompts/_template_unified.j2,0,21,19,0.905,2,0.095,11,10,0.909,10,9,0.900
openai,gpt-5-nano-2025-08-07,think-high,prompt_c012d6f2e6,cnf_v2,contradiction,prompts/_template_unified.j2,1,64,37,0.578,27,0.422,32,17,0.531,32,20,0.625
openai,gpt-5-nano-2025-08-07,think-low,prompt_c012d6f2e6,cnf_v2,contradiction,prompts/_template_unified.j2,0,22,17,0.773,4,0.182,11,8,0.727,11,9,0.818
openai,gpt-5-nano-2025-08-07,think-low,prompt_c012d6f2e6,cnf_v2,contradiction,prompts/_template_unified.j2,1,65,15,0.231,50,0.769,33,8,0.242,32,7,0.219
openai,gpt-5-nano-2025-08-07,think-medium,prompt_c012d6f2e6,cnf_v2,contradiction,prompts/_template_unified.j2,0,21,20,0.952,1,0.048,11,10,0.909,10,10,1.000
openai,gpt-5-nano-2025-08-07,think-medium,prompt_c012d6f2e6,cnf_v2,contradiction,prompts/_template_unified.j2,1,65,18,0.277,47,0.723,33,9,0.273,32,9,0.281
openai,gpt-5-nano-2025-08-07,nothink,prompt_154dcb992a,horn_if_then,yes_no,,1,1,0,0.000,1,1.000,1,0,0.000,0,0,
openai,gpt-5-nano-2025-08-07,nothink,prompt_2376d1fca7,horn_if_then,yes_no,prompts/_template_unified.j2,0,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
openai,gpt-5-nano-2025-08-07,nothink,prompt_2376d1fca7,horn_if_then,yes_no,prompts/_template_unified.j2,1,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
openai,gpt-5-nano-2025-08-07,nothink,prompt_62ba908560,horn_if_then,yes_no,prompts/_template_unified.j2,0,204,21,0.103,182,0.892,103,10,0.097,101,11,0.109
openai,gpt-5-nano-2025-08-07,nothink,prompt_62ba908560,horn_if_then,yes_no,prompts/_template_unified.j2,1,214,93,0.435,119,0.556,108,46,0.426,106,47,0.443
openai,gpt-5-nano-2025-08-07,think-high,prompt_62ba908560,horn_if_then,yes_no,prompts/_template_unified.j2,0,14,7,0.500,7,0.500,7,4,0.571,7,3,0.429
openai,gpt-5-nano-2025-08-07,think-high,prompt_62ba908560,horn_if_then,yes_no,prompts/_template_unified.j2,1,22,22,1.000,0,0.000,12,12,1.000,10,10,1.000
openai,gpt-5-nano-2025-08-07,think-low,prompt_62ba908560,horn_if_then,yes_no,prompts/_template_unified.j2,0,15,12,0.800,1,0.067,8,7,0.875,7,5,0.714
openai,gpt-5-nano-2025-08-07,think-low,prompt_62ba908560,horn_if_then,yes_no,prompts/_template_unified.j2,1,22,22,1.000,0,0.000,12,12,1.000,10,10,1.000
openai,gpt-5-nano-2025-08-07,think-medium,prompt_62ba908560,horn_if_then,yes_no,prompts/_template_unified.j2,0,14,11,0.786,2,0.143,7,7,1.000,7,4,0.571
openai,gpt-5-nano-2025-08-07,think-medium,prompt_62ba908560,horn_if_then,yes_no,prompts/_template_unified.j2,1,22,22,1.000,0,0.000,12,12,1.000,10,10,1.000
openai,gpt-5-nano-2025-08-07,nothink,prompt_73ecab0579,horn_if_then,yes_no,,1,3,0,0.000,3,1.000,2,0,0.000,1,0,0.000
openai,gpt-5-nano-2025-08-07,nothink,prompt_7b28aa32dc,horn_if_then,yes_no,prompts/_template_unified.j2,1,398,358,0.899,39,0.098,200,179,0.895,198,179,0.904
openai,gpt-5-nano-2025-08-07,think-high,prompt_7b28aa32dc,horn_if_then,yes_no,prompts/_template_unified.j2,1,121,121,1.000,0,0.000,61,61,1.000,60,60,1.000
openai,gpt-5-nano-2025-08-07,think-low,prompt_7b28aa32dc,horn_if_then,yes_no,prompts/_template_unified.j2,1,121,119,0.983,0,0.000,61,60,0.984,60,59,0.983
openai,gpt-5-nano-2025-08-07,think-medium,prompt_7b28aa32dc,horn_if_then,yes_no,prompts/_template_unified.j2,1,121,121,1.000,0,0.000,61,61,1.000,60,60,1.000
openai,gpt-5-nano-2025-08-07,nothink,prompt_c1b2be97aa,horn_if_then,yes_no,prompts/_template_unified.j2,0,2,1,0.500,1,0.500,1,1,1.000,1,0,0.000
openai,gpt-5-nano-2025-08-07,nothink,prompt_c1b2be97aa,horn_if_then,yes_no,prompts/_template_unified.j2,1,306,270,0.882,36,0.118,156,135,0.865,150,135,0.900
openai,gpt-5-nano-2025-08-07,,prompt_c6875730a1,horn_if_then,yes_no,prompts/exp6_horn_yesno.j2,1,520,421,0.810,97,0.187,260,180,0.692,260,241,0.927
