provider,model,thinking_mode,prompt_id,prompt_style,parse_family,prompt_template,horn,total,correct,accuracy,unclear,unclear_rate,sat_total,sat_correct,sat_accuracy,unsat_total,unsat_correct,unsat_accuracy
openai,gpt-5-pro-2025-10-06,think-high,prompt_21889a86a3,cnf_v1,contradiction,prompts/_template_unified.j2,0,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
openai,gpt-5-pro-2025-10-06,think-high,prompt_21889a86a3,cnf_v1,contradiction,prompts/_template_unified.j2,1,28,27,0.964,1,0.036,17,16,0.941,11,11,1.000
openai,gpt-5-pro-2025-10-06,,prompt_83b02d3a05,cnf_v1,contradiction,prompts/exp1_cnf_v1_contradiction.j2,1,5,0,0.000,5,1.000,3,0,0.000,2,0,0.000
openai,gpt-5-pro-2025-10-06,think-high,prompt_2e9c5ccddf,cnf_v2,contradiction,prompts/_template_unified.j2,0,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
openai,gpt-5-pro-2025-10-06,think-high,prompt_2e9c5ccddf,cnf_v2,contradiction,prompts/_template_unified.j2,1,24,24,1.000,0,0.000,14,14,1.000,10,10,1.000
openai,gpt-5-pro-2025-10-06,think-high,prompt_2376d1fca7,horn_if_then,yes_no,prompts/_template_unified.j2,0,4,0,0.000,4,1.000,2,0,0.000,2,0,0.000
openai,gpt-5-pro-2025-10-06,think-high,prompt_2376d1fca7,horn_if_then,yes_no,prompts/_template_unified.j2,1,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
openai,gpt-5-pro-2025-10-06,think-high,prompt_73ecab0579,horn_if_then,yes_no,,1,3,0,0.000,3,1.000,2,0,0.000,1,0,0.000
openai,gpt-5-pro-2025-10-06,think-high,prompt_c1b2be97aa,horn_if_then,yes_no,prompts/_template_unified.j2,0,1,0,0.000,1,1.000,1,0,0.000,0,0,
openai,gpt-5-pro-2025-10-06,think-high,prompt_c1b2be97aa,horn_if_then,yes_no,prompts/_template_unified.j2,1,306,153,0.500,153,0.500,156,51,0.327,150,102,0.680
