provider,model,thinking_mode,prompt_id,prompt_style,parse_family,prompt_template,horn,total,correct,accuracy,unclear,unclear_rate,sat_total,sat_correct,sat_accuracy,unsat_total,unsat_correct,unsat_accuracy
google,gemini-2.5-pro,think-high,prompt_0b276d34e8,cnf_v1,contradiction,prompts/_template_unified.j2,0,184,75,0.408,102,0.554,93,30,0.323,91,45,0.495
google,gemini-2.5-pro,think-high,prompt_0b276d34e8,cnf_v1,contradiction,prompts/_template_unified.j2,1,465,344,0.740,110,0.237,233,137,0.588,232,207,0.892
google,gemini-2.5-pro,think-high,prompt_21889a86a3,cnf_v1,contradiction,prompts/_template_unified.j2,0,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
google,gemini-2.5-pro,think-high,prompt_21889a86a3,cnf_v1,contradiction,prompts/_template_unified.j2,1,29,29,1.000,0,0.000,17,17,1.000,12,12,1.000
google,gemini-2.5-pro,,prompt_83b02d3a05,cnf_v1,contradiction,prompts/exp1_cnf_v1_contradiction.j2,1,5,2,0.400,3,0.600,3,0,0.000,2,2,1.000
google,gemini-2.5-pro,think-high,prompt_2e9c5ccddf,cnf_v2,contradiction,prompts/_template_unified.j2,0,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
google,gemini-2.5-pro,think-high,prompt_2e9c5ccddf,cnf_v2,contradiction,prompts/_template_unified.j2,1,24,24,1.000,0,0.000,14,14,1.000,10,10,1.000
google,gemini-2.5-pro,think-high,prompt_c012d6f2e6,cnf_v2,contradiction,prompts/_template_unified.j2,0,192,84,0.438,102,0.531,97,36,0.371,95,48,0.505
google,gemini-2.5-pro,think-high,prompt_c012d6f2e6,cnf_v2,contradiction,prompts/_template_unified.j2,1,473,359,0.759,95,0.201,237,145,0.612,236,214,0.907
google,gemini-2.5-pro,think-high,prompt_2376d1fca7,horn_if_then,yes_no,prompts/_template_unified.j2,0,4,3,0.750,1,0.250,2,1,0.500,2,2,1.000
google,gemini-2.5-pro,think-high,prompt_2376d1fca7,horn_if_then,yes_no,prompts/_template_unified.j2,1,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
google,gemini-2.5-pro,think-high,prompt_62ba908560,horn_if_then,yes_no,prompts/_template_unified.j2,0,189,33,0.175,154,0.815,95,6,0.063,94,27,0.287
google,gemini-2.5-pro,think-high,prompt_62ba908560,horn_if_then,yes_no,prompts/_template_unified.j2,1,192,189,0.984,3,0.016,96,93,0.969,96,96,1.000
google,gemini-2.5-pro,think-high,prompt_73ecab0579,horn_if_then,yes_no,,1,3,0,0.000,3,1.000,2,0,0.000,1,0,0.000
google,gemini-2.5-pro,think-high,prompt_7b28aa32dc,horn_if_then,yes_no,prompts/_template_unified.j2,1,277,272,0.982,5,0.018,139,134,0.964,138,138,1.000
google,gemini-2.5-pro,think-high,prompt_c1b2be97aa,horn_if_then,yes_no,prompts/_template_unified.j2,0,2,0,0.000,2,1.000,1,0,0.000,1,0,0.000
google,gemini-2.5-pro,think-high,prompt_c1b2be97aa,horn_if_then,yes_no,prompts/_template_unified.j2,1,306,301,0.984,5,0.016,156,151,0.968,150,150,1.000
google,gemini-2.5-pro,,prompt_c6875730a1,horn_if_then,yes_no,prompts/exp6_horn_yesno.j2,1,520,412,0.792,97,0.187,260,183,0.704,260,229,0.881
