provider,model,thinking_mode,prompt_id,prompt_style,parse_family,prompt_template,horn,total,correct,accuracy,unclear,unclear_rate,sat_total,sat_correct,sat_accuracy,unsat_total,unsat_correct,unsat_accuracy
google,gemini-2.5-flash-lite,nothink,prompt_0b276d34e8,cnf_v1,contradiction,prompts/_template_unified.j2,0,185,91,0.492,24,0.130,93,56,0.602,92,35,0.380
google,gemini-2.5-flash-lite,nothink,prompt_0b276d34e8,cnf_v1,contradiction,prompts/_template_unified.j2,1,465,305,0.656,49,0.105,233,133,0.571,232,172,0.741
google,gemini-2.5-flash-lite,think-low,prompt_0b276d34e8,cnf_v1,contradiction,prompts/_template_unified.j2,0,185,96,0.519,31,0.168,93,67,0.720,92,29,0.315
google,gemini-2.5-flash-lite,think-low,prompt_0b276d34e8,cnf_v1,contradiction,prompts/_template_unified.j2,1,465,271,0.583,76,0.163,233,149,0.639,232,122,0.526
google,gemini-2.5-flash-lite,nothink,prompt_21889a86a3,cnf_v1,contradiction,prompts/_template_unified.j2,0,4,2,0.500,0,0.000,2,2,1.000,2,0,0.000
google,gemini-2.5-flash-lite,nothink,prompt_21889a86a3,cnf_v1,contradiction,prompts/_template_unified.j2,1,29,25,0.862,0,0.000,17,17,1.000,12,8,0.667
google,gemini-2.5-flash-lite,think-low,prompt_21889a86a3,cnf_v1,contradiction,prompts/_template_unified.j2,0,4,3,0.750,0,0.000,2,2,1.000,2,1,0.500
google,gemini-2.5-flash-lite,think-low,prompt_21889a86a3,cnf_v1,contradiction,prompts/_template_unified.j2,1,29,27,0.931,0,0.000,17,17,1.000,12,10,0.833
google,gemini-2.5-flash-lite,,prompt_83b02d3a05,cnf_v1,contradiction,prompts/exp1_cnf_v1_contradiction.j2,1,5,2,0.400,3,0.600,3,0,0.000,2,2,1.000
google,gemini-2.5-flash-lite,nothink,prompt_2e9c5ccddf,cnf_v2,contradiction,prompts/_template_unified.j2,0,4,2,0.500,0,0.000,2,2,1.000,2,0,0.000
google,gemini-2.5-flash-lite,nothink,prompt_2e9c5ccddf,cnf_v2,contradiction,prompts/_template_unified.j2,1,24,15,0.625,0,0.000,14,14,1.000,10,1,0.100
google,gemini-2.5-flash-lite,think-low,prompt_2e9c5ccddf,cnf_v2,contradiction,prompts/_template_unified.j2,0,4,3,0.750,0,0.000,2,2,1.000,2,1,0.500
google,gemini-2.5-flash-lite,think-low,prompt_2e9c5ccddf,cnf_v2,contradiction,prompts/_template_unified.j2,1,24,22,0.917,0,0.000,14,13,0.929,10,9,0.900
