provider,model,thinking_mode,prompt_id,prompt_style,parse_family,prompt_template,horn,total,correct,accuracy,unclear,unclear_rate,sat_total,sat_correct,sat_accuracy,unsat_total,unsat_correct,unsat_accuracy
anthropic,claude-3-5-haiku-20241022,,prompt_83b02d3a05,cnf_v1,contradiction,prompts/exp1_cnf_v1_contradiction.j2,1,5,3,0.600,0,0.000,3,3,1.000,2,0,0.000
anthropic,claude-3-5-haiku-20241022,,prompt_c6875730a1,horn_if_then,yes_no,prompts/exp6_horn_yesno.j2,1,520,286,0.550,7,0.013,260,55,0.212,260,231,0.888
anthropic,claude-haiku-4-5-20251001,nothink,prompt_0b276d34e8,cnf_v1,contradiction,prompts/_template_unified.j2,0,185,54,0.292,110,0.595,93,37,0.398,92,17,0.185
anthropic,claude-haiku-4-5-20251001,nothink,prompt_0b276d34e8,cnf_v1,contradiction,prompts/_template_unified.j2,1,465,229,0.492,213,0.458,233,126,0.541,232,103,0.444
anthropic,claude-haiku-4-5-20251001,nothink,prompt_21889a86a3,cnf_v1,contradiction,prompts/_template_unified.j2,0,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
anthropic,claude-haiku-4-5-20251001,nothink,prompt_21889a86a3,cnf_v1,contradiction,prompts/_template_unified.j2,1,29,29,1.000,0,0.000,17,17,1.000,12,12,1.000
anthropic,claude-haiku-4-5-20251001,nothink,prompt_2376d1fca7,horn_if_then,yes_no,prompts/_template_unified.j2,0,4,3,0.750,0,0.000,2,1,0.500,2,2,1.000
anthropic,claude-haiku-4-5-20251001,nothink,prompt_2376d1fca7,horn_if_then,yes_no,prompts/_template_unified.j2,1,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
anthropic,claude-haiku-4-5-20251001,nothink,prompt_2e9c5ccddf,cnf_v2,contradiction,prompts/_template_unified.j2,0,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
anthropic,claude-haiku-4-5-20251001,nothink,prompt_2e9c5ccddf,cnf_v2,contradiction,prompts/_template_unified.j2,1,24,24,1.000,0,0.000,14,14,1.000,10,10,1.000
