experiment,run_id,provider,model,thinking_mode,prompt_id,prompt_template,prompt_style,parse_family,total,correct,accuracy,unclear,unclear_rate,sat_total,sat_correct,sat_accuracy,unsat_total,unsat_correct,unsat_accuracy
anthropic_cheap_cnf2_con_hornonly,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,nothink,prompt_c012d6f2e6,prompts/_template_unified.j2,cnf_v2,contradiction,95,90,0.9473684210526315,0,0.0,48,44,0.9166666666666666,47,46,0.9787234042553191
anthropic_cheap_cnf2_con_hornonly,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-high,prompt_c012d6f2e6,prompts/_template_unified.j2,cnf_v2,contradiction,94,94,1.0,0,0.0,47,47,1.0,47,47,1.0
anthropic_cheap_cnf2_con_hornonly,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-low,prompt_c012d6f2e6,prompts/_template_unified.j2,cnf_v2,contradiction,95,91,0.9578947368421052,0,0.0,48,48,1.0,47,43,0.9148936170212766
anthropic_cheap_cnf2_con_hornonly,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-med,prompt_c012d6f2e6,prompts/_template_unified.j2,cnf_v2,contradiction,94,93,0.9893617021276596,0,0.0,47,47,1.0,47,46,0.9787234042553191
anthropic_cheap_cnf2_con_mixed,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,nothink,prompt_c012d6f2e6,prompts/_template_unified.j2,cnf_v2,contradiction,88,78,0.8863636363636364,0,0.0,44,42,0.9545454545454546,44,36,0.8181818181818182
anthropic_cheap_cnf2_con_mixed,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-high,prompt_c012d6f2e6,prompts/_template_unified.j2,cnf_v2,contradiction,88,88,1.0,0,0.0,44,44,1.0,44,44,1.0
anthropic_cheap_cnf2_con_mixed,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-low,prompt_c012d6f2e6,prompts/_template_unified.j2,cnf_v2,contradiction,88,68,0.7727272727272727,1,0.011363636363636364,44,41,0.9318181818181818,44,27,0.6136363636363636
anthropic_cheap_cnf2_con_mixed,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-med,prompt_c012d6f2e6,prompts/_template_unified.j2,cnf_v2,contradiction,88,87,0.9886363636363636,0,0.0,44,44,1.0,44,43,0.9772727272727273
anthropic_cheap_horn_yn_hornonly,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,nothink,prompt_7b28aa32dc,prompts/_template_unified.j2,horn_if_then,yes_no,109,108,0.9908256880733946,0,0.0,55,54,0.9818181818181818,54,54,1.0
anthropic_cheap_horn_yn_hornonly,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-high,prompt_7b28aa32dc,prompts/_template_unified.j2,horn_if_then,yes_no,108,108,1.0,0,0.0,54,54,1.0,54,54,1.0
anthropic_cheap_horn_yn_hornonly,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-low,prompt_7b28aa32dc,prompts/_template_unified.j2,horn_if_then,yes_no,109,107,0.981651376146789,0,0.0,55,53,0.9636363636363636,54,54,1.0
anthropic_cheap_horn_yn_hornonly,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-med,prompt_7b28aa32dc,prompts/_template_unified.j2,horn_if_then,yes_no,109,109,1.0,0,0.0,55,55,1.0,54,54,1.0
