experiment,run_id,provider,model,thinking_mode,parser_era,run_timestamp_iso,run_timestamp_source,results_relpath,provenance_relpath,summary_relpath,total_rows,correct_rows,accuracy,unclear_rows,unclear_rate,parsed_0,parsed_1,parsed_2,group_expected_total,group_missing_rows,maxvars_set,maxlen_set,horn_set,satflag_set,missing_maxvars_vs_group,missing_maxlen_vs_group,missing_horn_vs_group,missing_meta_maxvars,missing_meta_maxlen,missing_meta_horn,missing_meta_satflag,missing_parsed_answer,provenance_exists,provenance_rows,provenance_error_rows,provenance_error_rate,provenance_full_text_empty_rows,provenance_full_text_empty_rate,analysis_usable,analysis_reason,publication_usable,publication_reason
anthropic_cheap_cnf2_con_hornonly,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,nothink,post-parser-enhancement,2025-10-27T21:33:00+00:00,run_id,anthropic_cheap_cnf2_con_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/nothink/results.jsonl,anthropic_cheap_cnf2_con_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/nothink/results.provenance.jsonl,,95,77,0.810526,0,0.000000,63,32,0,95,0,"4,5,6,7,8,9","2,3,4,5",1,"0,1",,,,0,0,0,0,0,True,95,0,0.000000,0,0.000000,True,ok,True,ok
anthropic_cheap_cnf2_con_hornonly,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-high,post-parser-enhancement,2025-10-27T21:33:00+00:00,run_id,anthropic_cheap_cnf2_con_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-high/results.jsonl,anthropic_cheap_cnf2_con_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-high/results.provenance.jsonl,,94,89,0.946809,0,0.000000,52,42,0,95,1,"4,5,6,7,8,9","2,3,4,5",1,"0,1",,,,0,0,0,0,0,True,94,0,0.000000,0,0.000000,True,incomplete vs group max: missing 1/95 rows,False,incomplete vs group max: missing 1/95 rows
anthropic_cheap_cnf2_con_hornonly,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-low,post-parser-enhancement,2025-10-27T21:33:00+00:00,run_id,anthropic_cheap_cnf2_con_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-low/results.jsonl,anthropic_cheap_cnf2_con_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-low/results.provenance.jsonl,,95,85,0.894737,0,0.000000,51,44,0,95,0,"4,5,6,7,8,9","2,3,4,5",1,"0,1",,,,0,0,0,0,0,True,95,0,0.000000,0,0.000000,True,ok,True,ok
anthropic_cheap_cnf2_con_hornonly,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-med,post-parser-enhancement,2025-10-27T21:33:00+00:00,run_id,anthropic_cheap_cnf2_con_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-med/results.jsonl,anthropic_cheap_cnf2_con_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-med/results.provenance.jsonl,,94,86,0.914894,0,0.000000,53,41,0,95,1,"4,5,6,7,8,9","2,3,4,5",1,"0,1",,,,0,0,0,0,0,True,94,0,0.000000,0,0.000000,True,incomplete vs group max: missing 1/95 rows,False,incomplete vs group max: missing 1/95 rows
anthropic_cheap_cnf2_con_mixed,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,nothink,post-parser-enhancement,2025-10-27T21:33:00+00:00,run_id,anthropic_cheap_cnf2_con_mixed/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/nothink/results.jsonl,anthropic_cheap_cnf2_con_mixed/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/nothink/results.provenance.jsonl,,88,68,0.772727,0,0.000000,50,38,0,88,0,"4,5,6","2,3,4,5","0,1","0,1",,,,0,0,0,0,0,True,88,0,0.000000,0,0.000000,True,ok,True,ok
anthropic_cheap_cnf2_con_mixed,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-high,post-parser-enhancement,2025-10-27T21:33:00+00:00,run_id,anthropic_cheap_cnf2_con_mixed/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-high/results.jsonl,anthropic_cheap_cnf2_con_mixed/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-high/results.provenance.jsonl,,88,87,0.988636,0,0.000000,45,43,0,88,0,"4,5,6","2,3,4,5","0,1","0,1",,,,0,0,0,0,0,True,88,0,0.000000,0,0.000000,True,ok,True,ok
anthropic_cheap_cnf2_con_mixed,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-low,post-parser-enhancement,2025-10-27T21:33:00+00:00,run_id,anthropic_cheap_cnf2_con_mixed/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-low/results.jsonl,anthropic_cheap_cnf2_con_mixed/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-low/results.provenance.jsonl,,88,63,0.715909,1,0.011364,36,51,1,88,0,"4,5,6","2,3,4,5","0,1","0,1",,,,0,0,0,0,0,True,88,0,0.000000,0,0.000000,True,unclear parses: 1/88 (re-parse possible from provenance),False,unclear parses present (re-parse first): 1/88
anthropic_cheap_cnf2_con_mixed,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-med,post-parser-enhancement,2025-10-27T21:33:00+00:00,run_id,anthropic_cheap_cnf2_con_mixed/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-med/results.jsonl,anthropic_cheap_cnf2_con_mixed/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-med/results.provenance.jsonl,,88,82,0.931818,0,0.000000,48,40,0,88,0,"4,5,6","2,3,4,5","0,1","0,1",,,,0,0,0,0,0,True,88,0,0.000000,0,0.000000,True,ok,True,ok
anthropic_cheap_horn_yn_hornonly,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,nothink,post-parser-enhancement,2025-10-27T21:33:00+00:00,run_id,anthropic_cheap_horn_yn_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/nothink/results.jsonl,anthropic_cheap_horn_yn_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/nothink/results.provenance.jsonl,,109,108,0.990826,0,0.000000,55,54,0,109,0,"4,5,6,7,8,9,10","2,3,4,5",1,"0,1",,,,0,0,0,0,0,True,109,0,0.000000,0,0.000000,True,ok,True,ok
anthropic_cheap_horn_yn_hornonly,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-high,post-parser-enhancement,2025-10-27T21:33:00+00:00,run_id,anthropic_cheap_horn_yn_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-high/results.jsonl,anthropic_cheap_horn_yn_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-high/results.provenance.jsonl,,108,108,1.000000,0,0.000000,54,54,0,109,1,"4,5,6,7,8,9,10","2,3,4,5",1,"0,1",,,,0,0,0,0,0,True,108,0,0.000000,0,0.000000,True,incomplete vs group max: missing 1/109 rows,False,incomplete vs group max: missing 1/109 rows
anthropic_cheap_horn_yn_hornonly,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-low,post-parser-enhancement,2025-10-27T21:33:00+00:00,run_id,anthropic_cheap_horn_yn_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-low/results.jsonl,anthropic_cheap_horn_yn_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-low/results.provenance.jsonl,,109,107,0.981651,0,0.000000,56,53,0,109,0,"4,5,6,7,8,9,10","2,3,4,5",1,"0,1",,,,0,0,0,0,0,True,109,0,0.000000,0,0.000000,True,ok,True,ok
