provider,model,thinking_mode,prompt_id,prompt_style,parse_family,prompt_template,horn,total,correct,accuracy,unclear,unclear_rate,sat_total,sat_correct,sat_accuracy,unsat_total,unsat_correct,unsat_accuracy
openai,gpt-5-2025-08-07,think-high,prompt_0b276d34e8,cnf_v1,contradiction,prompts/_template_unified.j2,0,185,50,0.270,135,0.730,93,30,0.323,92,20,0.217
openai,gpt-5-2025-08-07,think-high,prompt_0b276d34e8,cnf_v1,contradiction,prompts/_template_unified.j2,1,465,248,0.533,217,0.467,233,123,0.528,232,125,0.539
openai,gpt-5-2025-08-07,think-medium,prompt_0b276d34e8,cnf_v1,contradiction,prompts/_template_unified.j2,0,185,64,0.346,121,0.654,93,35,0.376,92,29,0.315
openai,gpt-5-2025-08-07,think-medium,prompt_0b276d34e8,cnf_v1,contradiction,prompts/_template_unified.j2,1,465,253,0.544,212,0.456,233,127,0.545,232,126,0.543
openai,gpt-5-2025-08-07,think-medium,prompt_21889a86a3,cnf_v1,contradiction,prompts/_template_unified.j2,0,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
openai,gpt-5-2025-08-07,think-medium,prompt_21889a86a3,cnf_v1,contradiction,prompts/_template_unified.j2,1,29,29,1.000,0,0.000,17,17,1.000,12,12,1.000
openai,gpt-5-2025-08-07,,prompt_83b02d3a05,cnf_v1,contradiction,prompts/exp1_cnf_v1_contradiction.j2,1,5,5,1.000,0,0.000,3,3,1.000,2,2,1.000
openai,gpt-5-2025-08-07,think-medium,prompt_2e9c5ccddf,cnf_v2,contradiction,prompts/_template_unified.j2,0,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
openai,gpt-5-2025-08-07,think-medium,prompt_2e9c5ccddf,cnf_v2,contradiction,prompts/_template_unified.j2,1,24,24,1.000,0,0.000,14,14,1.000,10,10,1.000
openai,gpt-5-2025-08-07,think-high,prompt_c012d6f2e6,cnf_v2,contradiction,prompts/_template_unified.j2,0,193,54,0.280,139,0.720,97,31,0.320,96,23,0.240
openai,gpt-5-2025-08-07,think-high,prompt_c012d6f2e6,cnf_v2,contradiction,prompts/_template_unified.j2,1,473,269,0.569,204,0.431,237,135,0.570,236,134,0.568
openai,gpt-5-2025-08-07,think-medium,prompt_c012d6f2e6,cnf_v2,contradiction,prompts/_template_unified.j2,0,193,64,0.332,126,0.653,97,35,0.361,96,29,0.302
openai,gpt-5-2025-08-07,think-medium,prompt_c012d6f2e6,cnf_v2,contradiction,prompts/_template_unified.j2,1,473,273,0.577,200,0.423,237,138,0.582,236,135,0.572
openai,gpt-5-2025-08-07,think-medium,prompt_2376d1fca7,horn_if_then,yes_no,prompts/_template_unified.j2,0,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
openai,gpt-5-2025-08-07,think-medium,prompt_2376d1fca7,horn_if_then,yes_no,prompts/_template_unified.j2,1,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
openai,gpt-5-2025-08-07,think-high,prompt_62ba908560,horn_if_then,yes_no,prompts/_template_unified.j2,0,189,38,0.201,138,0.730,95,29,0.305,94,9,0.096
openai,gpt-5-2025-08-07,think-high,prompt_62ba908560,horn_if_then,yes_no,prompts/_template_unified.j2,1,193,76,0.394,117,0.606,97,38,0.392,96,38,0.396
openai,gpt-5-2025-08-07,think-medium,prompt_62ba908560,horn_if_then,yes_no,prompts/_template_unified.j2,0,189,48,0.254,123,0.651,95,34,0.358,94,14,0.149
openai,gpt-5-2025-08-07,think-medium,prompt_62ba908560,horn_if_then,yes_no,prompts/_template_unified.j2,1,193,76,0.394,117,0.606,97,38,0.392,96,38,0.396
openai,gpt-5-2025-08-07,think-medium,prompt_73ecab0579,horn_if_then,yes_no,,1,3,0,0.000,3,1.000,2,0,0.000,1,0,0.000
openai,gpt-5-2025-08-07,think-high,prompt_7b28aa32dc,horn_if_then,yes_no,prompts/_template_unified.j2,1,277,274,0.989,3,0.011,139,136,0.978,138,138,1.000
openai,gpt-5-2025-08-07,think-medium,prompt_7b28aa32dc,horn_if_then,yes_no,prompts/_template_unified.j2,1,277,277,1.000,0,0.000,139,139,1.000,138,138,1.000
openai,gpt-5-2025-08-07,think-medium,prompt_c1b2be97aa,horn_if_then,yes_no,prompts/_template_unified.j2,0,2,0,0.000,2,1.000,1,0,0.000,1,0,0.000
openai,gpt-5-2025-08-07,think-medium,prompt_c1b2be97aa,horn_if_then,yes_no,prompts/_template_unified.j2,1,306,306,1.000,0,0.000,156,156,1.000,150,150,1.000
openai,gpt-5-2025-08-07,,prompt_c6875730a1,horn_if_then,yes_no,prompts/exp6_horn_yesno.j2,1,520,434,0.835,86,0.165,260,175,0.673,260,259,0.996
