provider,model,thinking_mode,prompt_id,prompt_style,parse_family,prompt_template,horn,total,correct,accuracy,unclear,unclear_rate,sat_total,sat_correct,sat_accuracy,unsat_total,unsat_correct,unsat_accuracy
anthropic,claude-sonnet-4-5-20250929,think-high,prompt_0b276d34e8,cnf_v1,contradiction,prompts/_template_unified.j2,0,185,73,0.395,110,0.595,93,38,0.409,92,35,0.380
anthropic,claude-sonnet-4-5-20250929,think-high,prompt_0b276d34e8,cnf_v1,contradiction,prompts/_template_unified.j2,1,465,251,0.540,213,0.458,233,126,0.541,232,125,0.539
anthropic,claude-sonnet-4-5-20250929,think-high,prompt_21889a86a3,cnf_v1,contradiction,prompts/_template_unified.j2,0,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
anthropic,claude-sonnet-4-5-20250929,think-high,prompt_21889a86a3,cnf_v1,contradiction,prompts/_template_unified.j2,1,29,29,1.000,0,0.000,17,17,1.000,12,12,1.000
anthropic,claude-sonnet-4-5-20250929,,prompt_83b02d3a05,cnf_v1,contradiction,prompts/exp1_cnf_v1_contradiction.j2,1,5,0,0.000,5,1.000,3,0,0.000,2,0,0.000
anthropic,claude-sonnet-4-5-20250929,think-high,prompt_2e9c5ccddf,cnf_v2,contradiction,prompts/_template_unified.j2,0,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
anthropic,claude-sonnet-4-5-20250929,think-high,prompt_2e9c5ccddf,cnf_v2,contradiction,prompts/_template_unified.j2,1,24,24,1.000,0,0.000,14,14,1.000,10,10,1.000
anthropic,claude-sonnet-4-5-20250929,think-high,prompt_c012d6f2e6,cnf_v2,contradiction,prompts/_template_unified.j2,0,193,76,0.394,115,0.596,97,40,0.412,96,36,0.375
anthropic,claude-sonnet-4-5-20250929,think-high,prompt_c012d6f2e6,cnf_v2,contradiction,prompts/_template_unified.j2,1,473,266,0.562,207,0.438,237,134,0.565,236,132,0.559
anthropic,claude-sonnet-4-5-20250929,think-high,prompt_2376d1fca7,horn_if_then,yes_no,prompts/_template_unified.j2,0,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
anthropic,claude-sonnet-4-5-20250929,think-high,prompt_2376d1fca7,horn_if_then,yes_no,prompts/_template_unified.j2,1,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
anthropic,claude-sonnet-4-5-20250929,think-high,prompt_62ba908560,horn_if_then,yes_no,prompts/_template_unified.j2,0,189,66,0.349,121,0.640,95,34,0.358,94,32,0.340
anthropic,claude-sonnet-4-5-20250929,think-high,prompt_62ba908560,horn_if_then,yes_no,prompts/_template_unified.j2,1,194,73,0.376,121,0.624,97,36,0.371,97,37,0.381
anthropic,claude-sonnet-4-5-20250929,think-high,prompt_73ecab0579,horn_if_then,yes_no,,1,3,0,0.000,3,1.000,2,0,0.000,1,0,0.000
anthropic,claude-sonnet-4-5-20250929,think-high,prompt_7b28aa32dc,horn_if_then,yes_no,prompts/_template_unified.j2,1,277,277,1.000,0,0.000,139,139,1.000,138,138,1.000
anthropic,claude-sonnet-4-5-20250929,think-high,prompt_c1b2be97aa,horn_if_then,yes_no,prompts/_template_unified.j2,0,2,0,0.000,2,1.000,1,0,0.000,1,0,0.000
anthropic,claude-sonnet-4-5-20250929,think-high,prompt_c1b2be97aa,horn_if_then,yes_no,prompts/_template_unified.j2,1,306,305,0.997,1,0.003,156,155,0.994,150,150,1.000
