experiment,run_id,leaf_runs,expected_total,union_maxvars,union_maxlen,union_horn,providers,models,thinking_modes,analysis_usable_runs,analysis_unusable_runs,publication_usable_runs,publication_unusable_runs
anthropic_cheap_cnf2_con_hornonly,cheap_20251027_2133,4,95,"4,5,6,7,8,9","2,3,4,5",1,anthropic,claude-haiku-4-5-20251001,"nothink,think-high,think-low,think-med",4,0,2,2
anthropic_cheap_cnf2_con_mixed,cheap_20251027_2133,4,88,"4,5,6","2,3,4,5","0,1",anthropic,claude-haiku-4-5-20251001,"nothink,think-high,think-low,think-med",4,0,3,1
anthropic_cheap_horn_yn_hornonly,cheap_20251027_2133,4,109,"4,5,6,7,8,9,10","2,3,4,5",1,anthropic,claude-haiku-4-5-20251001,"nothink,think-high,think-low,think-med",4,0,3,1
anthropic_cheap_horn_yn_mixed,cheap_20251027_2133,4,62,"4,5","2,3,4,5","0,1",anthropic,claude-haiku-4-5-20251001,"nothink,think-high,think-low,think-med",4,0,3,1
cnf1_con_hornonly,config_test,12,3,4,2,1,"anthropic,google,openai","claude-haiku-4-5-20251001,claude-opus-4-1-20250805,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-pro-2025-10-06","nothink,think-high,think-low,think-med,think-medium",12,0,6,6
cnf1_con_hornonly,final_validation_test,12,3,4,2,1,"anthropic,google,openai","claude-haiku-4-5-20251001,claude-opus-4-1-20250805,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-pro-2025-10-06","nothink,think-high,think-low,think-med,think-medium",12,0,12,0
cnf1_con_hornonly,smoke_20251020_2037,12,8,4,"2,3",1,"anthropic,google,openai","claude-haiku-4-5-20251001,claude-opus-4-1-20250805,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-pro-2025-10-06","nothink,think-high,think-low,think-med,think-medium",12,0,10,2
cnf1_con_hornonly,smoke_20251020_2224,12,5,4,"2,3",1,"anthropic,google,openai","claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07","nothink,think-high,think-low,think-med,think-medium",12,0,11,1
cnf1_con_hornonly,validation_20251016_0357,12,2,4,2,1,"anthropic,google,openai","claude-haiku-4-5-20251001,claude-opus-4-1-20250805,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-pro-2025-10-06","nothink,think-high,think-low,think-med,think-medium",12,0,10,2
cnf1_con_hornonly,validation_20251020_2235,12,272,"4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","2,3,4,5",1,"anthropic,google,openai","claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07","nothink,think-high,think-low,think-med,think-medium",12,0,0,12
cnf1_con_mixed,config_test,12,3,4,2,1,"anthropic,google,openai","claude-haiku-4-5-20251001,claude-opus-4-1-20250805,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-pro-2025-10-06","nothink,think-high,think-low,think-med,think-medium",12,0,6,6
