llmlog paper figure description (sidecar; not for the article)

figure_pdf: fig_supp_sat_unsat_asymmetry.pdf
figure_id: supp_sat_unsat_asymmetry
variant: new

Header removed from PDF
- title: Supplementary: satisfiable/unsatisfiable asymmetry
- context: Subset: Horn / Non-Horn · Representation: Compact CNF + Natural Language CNF (+ If-then CNF on Horn only) · Prompt: examples-only vs algorithmic · Targets: see x-axis

Metric definition
- accuracy_mode: completed
- completed denominator: answered + unclear (excludes pending + errors)
- point inclusion threshold: completed >= 5

Numeric validation table: configuration-level accuracies (rep×prompt; aggregated over n,k)
target	subset	representation	prompt_group	prompt_label	split	total	pending	errors	answered	unclear	completed	correct	acc_completed
Anthropic claude-opus-4-5-20251101 (none)	Horn	Compact CNF	algorithmic	Forward chaining (direct)	Satisfiable	75	0	0	75	0	75	75	1.000
Anthropic claude-opus-4-5-20251101 (none)	Horn	Compact CNF	algorithmic	Forward chaining (direct)	Unsatisfiable	75	0	0	75	0	75	67	0.893
Anthropic claude-opus-4-5-20251101 (none)	Horn	Compact CNF	algorithmic	Forward chaining (with line citations)	Satisfiable	75	0	0	75	0	75	75	1.000
Anthropic claude-opus-4-5-20251101 (none)	Horn	Compact CNF	algorithmic	Forward chaining (with line citations)	Unsatisfiable	75	0	0	75	0	75	68	0.907
Anthropic claude-opus-4-5-20251101 (none)	Horn	If-then CNF	algorithmic	Forward chaining (direct)	Satisfiable	75	0	0	75	0	75	75	1.000
Anthropic claude-opus-4-5-20251101 (none)	Horn	If-then CNF	algorithmic	Forward chaining (direct)	Unsatisfiable	75	0	0	75	0	75	71	0.947
Anthropic claude-opus-4-5-20251101 (none)	Horn	If-then CNF	algorithmic	Forward chaining (with line citations)	Satisfiable	75	0	0	75	0	75	75	1.000
Anthropic claude-opus-4-5-20251101 (none)	Horn	If-then CNF	algorithmic	Forward chaining (with line citations)	Unsatisfiable	75	0	0	75	0	75	68	0.907
Anthropic claude-opus-4-5-20251101 (none)	Horn	Natural Language CNF	algorithmic	Forward chaining (direct)	Satisfiable	75	0	0	75	0	75	70	0.933
Anthropic claude-opus-4-5-20251101 (none)	Horn	Natural Language CNF	algorithmic	Forward chaining (direct)	Unsatisfiable	75	0	0	75	0	75	68	0.907
Anthropic claude-opus-4-5-20251101 (none)	Horn	Natural Language CNF	algorithmic	Forward chaining (with line citations)	Satisfiable	75	0	0	75	0	75	73	0.973
Anthropic claude-opus-4-5-20251101 (none)	Horn	Natural Language CNF	algorithmic	Forward chaining (with line citations)	Unsatisfiable	75	0	0	75	0	75	70	0.933
Anthropic claude-opus-4-5-20251101 (none)	Horn	Compact CNF	examples	Examples-only	Satisfiable	75	0	0	75	0	75	72	0.960
Anthropic claude-opus-4-5-20251101 (none)	Horn	Compact CNF	examples	Examples-only	Unsatisfiable	75	0	0	75	0	75	60	0.800
Anthropic claude-opus-4-5-20251101 (none)	Horn	If-then CNF	examples	Examples-only	Satisfiable	75	0	0	75	0	75	75	1.000
Anthropic claude-opus-4-5-20251101 (none)	Horn	If-then CNF	examples	Examples-only	Unsatisfiable	75	0	0	75	0	75	72	0.960
Anthropic claude-opus-4-5-20251101 (none)	Horn	Natural Language CNF	examples	Examples-only	Satisfiable	75	0	0	75	0	75	75	1.000
Anthropic claude-opus-4-5-20251101 (none)	Horn	Natural Language CNF	examples	Examples-only	Unsatisfiable	75	0	0	75	0	75	56	0.747
Anthropic claude-opus-4-5-20251101 (none)	Non-Horn	Compact CNF	algorithmic	DPLL-style (direct)	Satisfiable	75	0	0	75	0	75	75	1.000
Anthropic claude-opus-4-5-20251101 (none)	Non-Horn	Compact CNF	algorithmic	DPLL-style (direct)	Unsatisfiable	75	0	0	75	0	75	2	0.027
Anthropic claude-opus-4-5-20251101 (none)	Non-Horn	Compact CNF	algorithmic	DPLL-style (with line citations)	Satisfiable	75	0	0	75	0	75	75	1.000
Anthropic claude-opus-4-5-20251101 (none)	Non-Horn	Compact CNF	algorithmic	DPLL-style (with line citations)	Unsatisfiable	75	0	0	75	0	75	1	0.013
Anthropic claude-opus-4-5-20251101 (none)	Non-Horn	Natural Language CNF	algorithmic	DPLL-style (direct)	Satisfiable	75	0	0	75	0	75	75	1.000
Anthropic claude-opus-4-5-20251101 (none)	Non-Horn	Natural Language CNF	algorithmic	DPLL-style (direct)	Unsatisfiable	75	0	0	75	0	75	1	0.013
Anthropic claude-opus-4-5-20251101 (none)	Non-Horn	Natural Language CNF	algorithmic	DPLL-style (with line citations)	Satisfiable	75	0	0	74	1	75	74	0.987
Anthropic claude-opus-4-5-20251101 (none)	Non-Horn	Natural Language CNF	algorithmic	DPLL-style (with line citations)	Unsatisfiable	75	0	0	75	0	75	1	0.013
Anthropic claude-opus-4-5-20251101 (none)	Non-Horn	Compact CNF	examples	Examples-only	Satisfiable	75	0	0	75	0	75	75	1.000
Anthropic claude-opus-4-5-20251101 (none)	Non-Horn	Compact CNF	examples	Examples-only	Unsatisfiable	75	0	0	75	0	75	3	0.040
