provider,model,thinking_mode,prompt_id,prompt_style,parse_family,prompt_template,horn,total,correct,accuracy,unclear,unclear_rate,sat_total,sat_correct,sat_accuracy,unsat_total,unsat_correct,unsat_accuracy
anthropic,claude-haiku-4-5-20251001,nothink,prompt_0b276d34e8,cnf_v1,contradiction,prompts/_template_unified.j2,0,185,54,0.292,110,0.595,93,37,0.398,92,17,0.185
anthropic,claude-haiku-4-5-20251001,nothink,prompt_0b276d34e8,cnf_v1,contradiction,prompts/_template_unified.j2,1,465,229,0.492,213,0.458,233,126,0.541,232,103,0.444
anthropic,claude-haiku-4-5-20251001,think-low,prompt_0b276d34e8,cnf_v1,contradiction,prompts/_template_unified.j2,0,185,50,0.270,110,0.595,93,36,0.387,92,14,0.152
anthropic,claude-haiku-4-5-20251001,think-low,prompt_0b276d34e8,cnf_v1,contradiction,prompts/_template_unified.j2,1,465,214,0.460,214,0.460,233,125,0.536,232,89,0.384
anthropic,claude-haiku-4-5-20251001,think-med,prompt_0b276d34e8,cnf_v1,contradiction,prompts/_template_unified.j2,0,185,66,0.357,114,0.616,93,35,0.376,92,31,0.337
anthropic,claude-haiku-4-5-20251001,think-med,prompt_0b276d34e8,cnf_v1,contradiction,prompts/_template_unified.j2,1,465,252,0.542,213,0.458,233,127,0.545,232,125,0.539
anthropic,claude-haiku-4-5-20251001,nothink,prompt_21889a86a3,cnf_v1,contradiction,prompts/_template_unified.j2,0,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
anthropic,claude-haiku-4-5-20251001,nothink,prompt_21889a86a3,cnf_v1,contradiction,prompts/_template_unified.j2,1,29,29,1.000,0,0.000,17,17,1.000,12,12,1.000
anthropic,claude-haiku-4-5-20251001,think-low,prompt_21889a86a3,cnf_v1,contradiction,prompts/_template_unified.j2,0,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
anthropic,claude-haiku-4-5-20251001,think-low,prompt_21889a86a3,cnf_v1,contradiction,prompts/_template_unified.j2,1,29,29,1.000,0,0.000,17,17,1.000,12,12,1.000
anthropic,claude-haiku-4-5-20251001,nothink,prompt_2e9c5ccddf,cnf_v2,contradiction,prompts/_template_unified.j2,0,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
anthropic,claude-haiku-4-5-20251001,nothink,prompt_2e9c5ccddf,cnf_v2,contradiction,prompts/_template_unified.j2,1,24,24,1.000,0,0.000,14,14,1.000,10,10,1.000
