experiment,run_id,provider,model,thinking_mode,results_relpath,provenance_relpath,total,expected_total,missing_rows_vs_group,unclear,present_maxvars,missing_maxvars_vs_group,present_maxlen,missing_maxlen_vs_group,present_horn,missing_horn_vs_group,provenance_error_rows,provenance_full_text_empty_rows,config_path_guess
anthropic_cheap_cnf2_con_hornonly,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,nothink,anthropic_cheap_cnf2_con_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/nothink/results.jsonl,anthropic_cheap_cnf2_con_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/nothink/results.provenance.jsonl,95,95,0,0,4-9,,2-5,,1,,0,0,/Users/ottomattas/Downloads/repos/llmlog/experiments/configs/anthropic_cheap_cnf2_con_hornonly.yaml
anthropic_cheap_cnf2_con_hornonly,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-high,anthropic_cheap_cnf2_con_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-high/results.jsonl,anthropic_cheap_cnf2_con_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-high/results.provenance.jsonl,94,95,1,0,4-9,,2-5,,1,,0,0,/Users/ottomattas/Downloads/repos/llmlog/experiments/configs/anthropic_cheap_cnf2_con_hornonly.yaml
anthropic_cheap_cnf2_con_hornonly,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-low,anthropic_cheap_cnf2_con_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-low/results.jsonl,anthropic_cheap_cnf2_con_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-low/results.provenance.jsonl,95,95,0,0,4-9,,2-5,,1,,0,0,/Users/ottomattas/Downloads/repos/llmlog/experiments/configs/anthropic_cheap_cnf2_con_hornonly.yaml
anthropic_cheap_cnf2_con_hornonly,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-med,anthropic_cheap_cnf2_con_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-med/results.jsonl,anthropic_cheap_cnf2_con_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-med/results.provenance.jsonl,94,95,1,0,4-9,,2-5,,1,,0,0,/Users/ottomattas/Downloads/repos/llmlog/experiments/configs/anthropic_cheap_cnf2_con_hornonly.yaml
anthropic_cheap_cnf2_con_mixed,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,nothink,anthropic_cheap_cnf2_con_mixed/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/nothink/results.jsonl,anthropic_cheap_cnf2_con_mixed/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/nothink/results.provenance.jsonl,88,88,0,0,4-6,,2-5,,0-1,,0,0,/Users/ottomattas/Downloads/repos/llmlog/experiments/configs/anthropic_cheap_cnf2_con_mixed.yaml
anthropic_cheap_cnf2_con_mixed,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-high,anthropic_cheap_cnf2_con_mixed/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-high/results.jsonl,anthropic_cheap_cnf2_con_mixed/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-high/results.provenance.jsonl,88,88,0,0,4-6,,2-5,,0-1,,0,0,/Users/ottomattas/Downloads/repos/llmlog/experiments/configs/anthropic_cheap_cnf2_con_mixed.yaml
anthropic_cheap_cnf2_con_mixed,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-low,anthropic_cheap_cnf2_con_mixed/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-low/results.jsonl,anthropic_cheap_cnf2_con_mixed/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-low/results.provenance.jsonl,88,88,0,1,4-6,,2-5,,0-1,,0,0,/Users/ottomattas/Downloads/repos/llmlog/experiments/configs/anthropic_cheap_cnf2_con_mixed.yaml
anthropic_cheap_cnf2_con_mixed,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-med,anthropic_cheap_cnf2_con_mixed/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-med/results.jsonl,anthropic_cheap_cnf2_con_mixed/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-med/results.provenance.jsonl,88,88,0,0,4-6,,2-5,,0-1,,0,0,/Users/ottomattas/Downloads/repos/llmlog/experiments/configs/anthropic_cheap_cnf2_con_mixed.yaml
anthropic_cheap_horn_yn_hornonly,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,nothink,anthropic_cheap_horn_yn_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/nothink/results.jsonl,anthropic_cheap_horn_yn_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/nothink/results.provenance.jsonl,109,109,0,0,4-10,,2-5,,1,,0,0,/Users/ottomattas/Downloads/repos/llmlog/experiments/configs/anthropic_cheap_horn_yn_hornonly.yaml
anthropic_cheap_horn_yn_hornonly,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-high,anthropic_cheap_horn_yn_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-high/results.jsonl,anthropic_cheap_horn_yn_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-high/results.provenance.jsonl,108,109,1,0,4-10,,2-5,,1,,0,0,/Users/ottomattas/Downloads/repos/llmlog/experiments/configs/anthropic_cheap_horn_yn_hornonly.yaml
