provider,model,thinking_mode,prompt_id,prompt_style,parse_family,prompt_template,horn,total,correct,accuracy,unclear,unclear_rate,sat_total,sat_correct,sat_accuracy,unsat_total,unsat_correct,unsat_accuracy
openai,gpt-5-mini-2025-08-07,think-low,prompt_0b276d34e8,cnf_v1,contradiction,prompts/_template_unified.j2,0,185,59,0.319,113,0.611,93,38,0.409,92,21,0.228
openai,gpt-5-mini-2025-08-07,think-low,prompt_0b276d34e8,cnf_v1,contradiction,prompts/_template_unified.j2,1,465,241,0.518,214,0.460,233,126,0.541,232,115,0.496
openai,gpt-5-mini-2025-08-07,think-low,prompt_21889a86a3,cnf_v1,contradiction,prompts/_template_unified.j2,0,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
openai,gpt-5-mini-2025-08-07,think-low,prompt_21889a86a3,cnf_v1,contradiction,prompts/_template_unified.j2,1,29,29,1.000,0,0.000,17,17,1.000,12,12,1.000
openai,gpt-5-mini-2025-08-07,,prompt_83b02d3a05,cnf_v1,contradiction,prompts/exp1_cnf_v1_contradiction.j2,1,5,2,0.400,3,0.600,3,0,0.000,2,2,1.000
openai,gpt-5-mini-2025-08-07,think-low,prompt_2e9c5ccddf,cnf_v2,contradiction,prompts/_template_unified.j2,0,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
openai,gpt-5-mini-2025-08-07,think-low,prompt_2e9c5ccddf,cnf_v2,contradiction,prompts/_template_unified.j2,1,24,24,1.000,0,0.000,14,14,1.000,10,10,1.000
openai,gpt-5-mini-2025-08-07,think-low,prompt_c012d6f2e6,cnf_v2,contradiction,prompts/_template_unified.j2,0,193,62,0.321,115,0.596,97,39,0.402,96,23,0.240
openai,gpt-5-mini-2025-08-07,think-low,prompt_c012d6f2e6,cnf_v2,contradiction,prompts/_template_unified.j2,1,473,264,0.558,199,0.421,237,135,0.570,236,129,0.547
openai,gpt-5-mini-2025-08-07,think-low,prompt_2376d1fca7,horn_if_then,yes_no,prompts/_template_unified.j2,0,4,3,0.750,0,0.000,2,2,1.000,2,1,0.500
openai,gpt-5-mini-2025-08-07,think-low,prompt_2376d1fca7,horn_if_then,yes_no,prompts/_template_unified.j2,1,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
openai,gpt-5-mini-2025-08-07,think-low,prompt_62ba908560,horn_if_then,yes_no,prompts/_template_unified.j2,0,189,49,0.259,120,0.635,95,35,0.368,94,14,0.149
openai,gpt-5-mini-2025-08-07,think-low,prompt_62ba908560,horn_if_then,yes_no,prompts/_template_unified.j2,1,193,76,0.394,117,0.606,97,38,0.392,96,38,0.396
openai,gpt-5-mini-2025-08-07,think-low,prompt_73ecab0579,horn_if_then,yes_no,,1,3,0,0.000,3,1.000,2,0,0.000,1,0,0.000
openai,gpt-5-mini-2025-08-07,think-low,prompt_7b28aa32dc,horn_if_then,yes_no,prompts/_template_unified.j2,1,277,275,0.993,0,0.000,139,139,1.000,138,136,0.986
openai,gpt-5-mini-2025-08-07,think-low,prompt_c1b2be97aa,horn_if_then,yes_no,prompts/_template_unified.j2,0,2,0,0.000,2,1.000,1,0,0.000,1,0,0.000
openai,gpt-5-mini-2025-08-07,think-low,prompt_c1b2be97aa,horn_if_then,yes_no,prompts/_template_unified.j2,1,306,305,0.997,0,0.000,156,156,1.000,150,149,0.993
openai,gpt-5-mini-2025-08-07,,prompt_c6875730a1,horn_if_then,yes_no,prompts/exp6_horn_yesno.j2,1,520,482,0.927,38,0.073,260,223,0.858,260,259,0.996
