experiment,run_id,provider,model,thinking_mode,results_relpath,provenance_relpath,summary_relpath,prompt_template,prompt_style,parse_family,results_rows,provenance_rows,joined_rows,results_only_rows,provenance_only_rows,provenance_error_rows,provenance_full_text_empty_rows
anthropic_cheap_cnf2_con_hornonly,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,nothink,anthropic_cheap_cnf2_con_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/nothink/results.jsonl,anthropic_cheap_cnf2_con_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/nothink/results.provenance.jsonl,,prompts/_template_unified.j2,cnf_v2,contradiction,95,95,95,0,0,0,0
anthropic_cheap_cnf2_con_hornonly,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-high,anthropic_cheap_cnf2_con_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-high/results.jsonl,anthropic_cheap_cnf2_con_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-high/results.provenance.jsonl,,prompts/_template_unified.j2,cnf_v2,contradiction,94,94,94,0,0,0,0
anthropic_cheap_cnf2_con_hornonly,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-low,anthropic_cheap_cnf2_con_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-low/results.jsonl,anthropic_cheap_cnf2_con_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-low/results.provenance.jsonl,,prompts/_template_unified.j2,cnf_v2,contradiction,95,95,95,0,0,0,0
anthropic_cheap_cnf2_con_hornonly,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-med,anthropic_cheap_cnf2_con_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-med/results.jsonl,anthropic_cheap_cnf2_con_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-med/results.provenance.jsonl,,prompts/_template_unified.j2,cnf_v2,contradiction,94,94,94,0,0,0,0
anthropic_cheap_cnf2_con_mixed,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,nothink,anthropic_cheap_cnf2_con_mixed/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/nothink/results.jsonl,anthropic_cheap_cnf2_con_mixed/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/nothink/results.provenance.jsonl,,prompts/_template_unified.j2,cnf_v2,contradiction,88,88,88,0,0,0,0
anthropic_cheap_cnf2_con_mixed,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-high,anthropic_cheap_cnf2_con_mixed/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-high/results.jsonl,anthropic_cheap_cnf2_con_mixed/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-high/results.provenance.jsonl,,prompts/_template_unified.j2,cnf_v2,contradiction,88,88,88,0,0,0,0
anthropic_cheap_cnf2_con_mixed,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-low,anthropic_cheap_cnf2_con_mixed/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-low/results.jsonl,anthropic_cheap_cnf2_con_mixed/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-low/results.provenance.jsonl,,prompts/_template_unified.j2,cnf_v2,contradiction,88,88,88,0,0,0,0
anthropic_cheap_cnf2_con_mixed,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-med,anthropic_cheap_cnf2_con_mixed/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-med/results.jsonl,anthropic_cheap_cnf2_con_mixed/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-med/results.provenance.jsonl,,prompts/_template_unified.j2,cnf_v2,contradiction,88,88,88,0,0,0,0
anthropic_cheap_horn_yn_hornonly,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,nothink,anthropic_cheap_horn_yn_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/nothink/results.jsonl,anthropic_cheap_horn_yn_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/nothink/results.provenance.jsonl,,prompts/_template_unified.j2,horn_if_then,yes_no,109,109,109,0,0,0,0
anthropic_cheap_horn_yn_hornonly,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-high,anthropic_cheap_horn_yn_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-high/results.jsonl,anthropic_cheap_horn_yn_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-high/results.provenance.jsonl,,prompts/_template_unified.j2,horn_if_then,yes_no,108,108,108,0,0,0,0
anthropic_cheap_horn_yn_hornonly,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-low,anthropic_cheap_horn_yn_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-low/results.jsonl,anthropic_cheap_horn_yn_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-low/results.provenance.jsonl,,prompts/_template_unified.j2,horn_if_then,yes_no,109,109,109,0,0,0,0
anthropic_cheap_horn_yn_hornonly,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-med,anthropic_cheap_horn_yn_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-med/results.jsonl,anthropic_cheap_horn_yn_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-med/results.provenance.jsonl,,prompts/_template_unified.j2,horn_if_then,yes_no,109,109,109,0,0,0,0
