provider,model,thinking_mode,prompt_id,prompt_style,parse_family,prompt_template,horn,total,correct,accuracy,unclear,unclear_rate,sat_total,sat_correct,sat_accuracy,unsat_total,unsat_correct,unsat_accuracy
anthropic,claude-opus-4-1-20250805,think-med,prompt_21889a86a3,cnf_v1,contradiction,prompts/_template_unified.j2,0,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
anthropic,claude-opus-4-1-20250805,think-med,prompt_21889a86a3,cnf_v1,contradiction,prompts/_template_unified.j2,1,28,28,1.000,0,0.000,17,17,1.000,11,11,1.000
anthropic,claude-opus-4-1-20250805,,prompt_83b02d3a05,cnf_v1,contradiction,prompts/exp1_cnf_v1_contradiction.j2,1,5,0,0.000,5,1.000,3,0,0.000,2,0,0.000
anthropic,claude-opus-4-1-20250805,think-med,prompt_2e9c5ccddf,cnf_v2,contradiction,prompts/_template_unified.j2,0,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
anthropic,claude-opus-4-1-20250805,think-med,prompt_2e9c5ccddf,cnf_v2,contradiction,prompts/_template_unified.j2,1,24,24,1.000,0,0.000,14,14,1.000,10,10,1.000
anthropic,claude-opus-4-1-20250805,think-med,prompt_2376d1fca7,horn_if_then,yes_no,prompts/_template_unified.j2,0,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
anthropic,claude-opus-4-1-20250805,think-med,prompt_2376d1fca7,horn_if_then,yes_no,prompts/_template_unified.j2,1,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
anthropic,claude-opus-4-1-20250805,think-med,prompt_73ecab0579,horn_if_then,yes_no,,1,3,0,0.000,3,1.000,2,0,0.000,1,0,0.000
anthropic,claude-opus-4-1-20250805,think-med,prompt_c1b2be97aa,horn_if_then,yes_no,prompts/_template_unified.j2,0,2,1,0.500,1,0.500,1,1,1.000,1,0,0.000
anthropic,claude-opus-4-1-20250805,think-med,prompt_c1b2be97aa,horn_if_then,yes_no,prompts/_template_unified.j2,1,306,304,0.993,2,0.007,156,154,0.987,150,150,1.000
anthropic,claude-opus-4-1-20250805,,prompt_c6875730a1,horn_if_then,yes_no,prompts/exp6_horn_yesno.j2,1,520,515,0.990,5,0.010,260,257,0.988,260,258,0.992
